alpha,conflict,beta,error,addrcity,addrpostcode,addrstreet,building,buildinglevels,image,loc_name,mapillary,name,namede,nameen,namees,namefr,namenl,namepcd,namezh,refUrbIS,rooflevels,tourism,wheelchair,wikidata,wikipedia,addrcityfr,addrcitynl,addrhousenumber,addrstreetfr,addrstreetnl,nameetymologywikidata,sourcegeometryref,sourcegeometryversion,contactwebsite,opening_hours,operator,sensortype,shop,surveillance,surveillanceoperator,surveillancetype,addrcountry,source,proposedname,construction,office,height,layer,location,min_height,level,roofmaterial,roofshape,brand,brandwikidata,brandwikipedia,contactfacebook,contactinstagram,fax,internet_access,internet_accessfee,phone,rooms,smoking,stars,start_date,website,air_conditioning,bar,reservation,amenity,contactphone,dispensing,healthcare,opening_hourssigned,description,contactlinkedin,outdoor_seating,brewery,craft,microbrewery,contactemail,note,cuisine,alt_name,toiletswheelchair,dietvegan,dietvegetarian,toilets,toiletsaccess,toiletsdescription,toiletsfee,old_name,sport,gay,alt_namees,denomination,religion,wikipedianl,operatorwikidata,internet_accessssid,operatortype,shelter_type,takeaway,area,bicycle,highway,lit,namear,nameit,nameja,namela,namelanguage,nameli,nameml,namevls,place,surface,wheelchairdescription,alt_nameen,barrier,heritagewebsite,historic,man_made,towertype,email,contactfax,short_name,crossing,crossingisland,tactile_paving,crossing_ref,button_operated,traffic_signalssound,direction,traffic_signals,traffic_signalsdirection,maxspeed,oneway,onewaybicycle,sourcemaxspeed,short_namefr,short_namenl,cyclewayright,lanes,lanespsv,parkingconditionright,parkinglaneleft,parkinglaneright,busway,sidewalk,cyclewayleft,onewaypsv,lane_markings,footwaysurface,cycleway,access,tunnel,service,foot,indoor,covered,conveying,footway,noname,bus,public_transport,emergency,horse,motor_vehicle,taxi,vehicle,route_ref
building,highway,construction,no,Bruxelles - Brussel,1000.0,Rue de l'ÃvÃªque - Bisschopsstraat,construction,,,,,Brucity,,,,,,,,8314643.0,,,,Q38554956,,,,1,Rue de l'ÃvÃªque,Bisschopsstraat,,,,,,,,,,,,BE,,,office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity,college,yes,,,,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,tourism building,hotel,yes,,,,hotel,,,,,Grand HÃ´tel Central,,,,,,,,8186351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,tourism building,hotel,yes,,,,hotel,7.0,,,,,,,,,,,,8186351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,information building,office,yes,,,,office,,,,,VIVAQUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,information building,office,yes,,,,office,,,,,Arenberggebouw,,,,,,,,8189093.0,,,,Q47459605,nl:Arenberggebouw,,,,,,,Urbis/8189093,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,roof,no,,,,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,7.5,1.0,surface,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,roof,no,,,,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,7.5,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,roof,no,,,,roof,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,concrete,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,tourism building,hotel,yes,Bruxelles - Brussel,1000.0,Carrefour de l'Europe,hotel,6.0,https://images.mapillary.com/x3C76ACv1EJOpm0bVbiHP4/thumb-2048.jpg,,https://www.mapillary.com/map/im/x3C76ACv1EJOpm0bVbiHP4,Hilton Brussels Grand Place,,,,,,,,,,hotel,yes,Q30522857,,,,3,,,,,,,,Hilton,,,,,,BE,,,,,,,,,,,,Hilton,Q598884,en:Hilton Hotels & Resorts,https://www.facebook.com/HiltonBrusselsGrandPlace,https://www.instagram.com/hiltonbrusselsgrandplace/,+32 2 548 40 80,wlan,no,+32 2 548 42 11,224.0,no,4.0,2014.0,https://www.hilton.com/en/hotels/brugrhi-hilton-brussels-grand-place/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,tourism building,hotel,yes,Bruxelles - Brussel,1000.0,Rue du MarchÃ© aux Herbes - Grasmarkt,hotel,,,,,Novotel Brussels off Grand Place,,,,,,,,,,hotel,,,,,,120,,,,,,,,Accor,,,,,,BE,,,,,,,,,,,,Novotel,Q420545,en:Novotel,,,,wlan,customers,+32 2 620 04 29,138.0,no,4.0,,http://www.novotel.com,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Bruxelles - Brussel,1000.0,Boulevard Anspach - Anspachlaan,,,,,,Pharma City,,,,,,,,,,,,,,,,61,,,,,,,Mo-Fr 09:00-19:00; Sa 09:30-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,3222180640,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,,,,,,,,,Anspach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Bruxelles - Brussel,1000.0,Rue des Fripiers - Kleerkopersstraat,,,,,,Tsiokanos,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+32 2 218 04 91,,,,,https://www.aposite.be/desfripiers1000/,,,,pharmacy,,yes,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Bruxelles - Brussel,1000.0,Rue du MarchÃ© aux Poulets - Kiekenmarkt,,,,,,Multipharma,,,,,,,,,,,,,,,,39,,,,,,,,Multipharma,,,,,,,,,,,,,,,,,,Multipharma,Q62565018,,,,,,,,,,,,,,,,pharmacy,,yes,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,,,,,,,,,Lloydspharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Bruxelles - Brussel,1000.0,Rue des Pierres - Steenstraat,,,,,,Pharmacie des Pierres,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Bruxelles - Brussel,1000.0,Rue de Flandre - Vlaamsesteenweg,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+32 2 512 63 97,,,,,,,,,pharmacy,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,,,,,,,,,Pharmacie Universelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity shop,vacant,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity shop,vacant,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity shop,vacant,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Rue Jules Van Praet - Jules Van Praetstraat,,,,,,Darwin CafÃ©,,,,,,,,8184725.0,,,,,,Bruxelles,Brussel,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Petite rue au Beurre - Korte Boterstraat,,,,,,The Bar,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,,,,,,,,,Cafe des Halles,,,,,,,,,,,,,,,,,,,,,,,"Mo-Th, Su 10:00- Mo 01:00; Fr, Sa 10:00-03:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,,,,,,,,,Fetre Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,,,Rue Sainte-Catherine - Sint-Katelijnestraat,,,,,,Bar des Amis,,,,Bar des Amis,,,,,,,,,,,,30,,,,,,,Mo-Th 17:00-01:00+; Fr-Su 16:00-01:00+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Rue du MarchÃ© aux Poulets - Kiekenmarkt,,,,,,Archipel,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,bar,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,,,,,,,,,La Machine,,La Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://lamachine.be/,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,,,,,,,,,Bubble Tea Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,+32 2 5118232,,,,"Serves mostly fresh juices, milk shakes and some food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,,,,,,,,,Jardin Rooftop Bar,,,,,,,,,,,no,,,,,,,,,,,,Mo-Su 12:00-24:00,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/JardinRooftop/,https://www.instagram.com/jardinrooftop/,,,,,,,,,https://jardinrooftop.be,,,,bar,,,,,,https://linkedin.com/company/jardinrooftop/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Borgval - Borgwal,yes,,,,,CafÃ© Central,,,,,,,,6049451.0,,,yes,,,Bruxelles,Brussel,14,Borgval,Borgwal,,Urbis/6049451,6.0,,"Mo-Su 00:00-02:00,16:00-24:00",,,,,,,,,,,,,,,,,,,,,,,,,yes,,+32 2 513 73 08,,no,,,https://www.lecafecentral.com/,,,,bar,,,,,,,,Vedette;Chouffe,brewery,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Rue Jules Van Praet - Jules Van Praetstraat,yes,,,,,PP CafÃ©,,,,,,,,8182331.0,,,,,,Bruxelles,Brussel,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,,,Rue Auguste Orts - Auguste Ortsstraat,yes,,,,,Time Out Pub,,,,,,,,8185163.0,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Boulevard Anspach - Anspachlaan,yes,,,,,Les Brasseurs,,,,,,,,8183019.0,,,no,,,Bruxelles,Brussel,77,Boulevard Anspach,Anspachlaan,,Urbis/8183019,6.0,,,,,,,,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Boulevard Anspach - Anspachlaan,yes,,,,,O'Reilly's Nua,,,,,,,,8183577.0,,,no,,,Bruxelles,Brussel,79,Boulevard Anspach,Anspachlaan,,Urbis/8183577,6.0,,,,,,,,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Rue de la Grande Ãle - Groot Eiland,yes,,,,,Java,,,,,,,,6047715.0,,,,,,Bruxelles,Brussel,22,Rue de la Grande Ãle,Groot Eiland,,Urbis/6047715,6.0,,"Mo-Fr 00:00-04:00,17:30-24:00; Sa,Su 00:00-05:00,17:30-24:00",,,,,,,BE,,,,,,,,,,,,,,,,,,,,+32 2 512 37 16,,no,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Borgval - Borgwal,yes,,,,,Mezzo,,,,,,,,6049810.0,,,limited,,,Bruxelles,Brussel,16;18,Borgval,Borgwal,,Urbis/6049810,6.0,,"Mo-Su 00:00-06:00,20:00-24:00",,,,,,,,,,,,,,,,,,,,,,,,,,,+32 484 40 01 19,,no,,,http://www.mezzo.be/,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Rue des Pierres - Steenstraat,yes,,,,,Bonnefooi,,,,,,,,8184337.0,,,,,,Bruxelles,Brussel,6;8,,,,Urbis/8184337,8.0,,"Mo-Su 00:00-08:00,16:00-24:00",,,,,,,BE,,,,,,,,,,,,,,,,,,,,,,isolated,,,http://bonnefooi.be/,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,Bruxelles - Brussel,1000.0,Rue des Pierres - Steenstraat,yes,,,,,Quai des Bananes,,,,,,,,6046425.0,,,,,,Bruxelles,Brussel,28,Rue des Pierres,Steenstraat,,,,,,,,,,,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,bar,no,,,,yes,,,,,,,,,,,,,8185947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,Bruxelles - Brussel,1000.0,Impasse des Cadeaux - Geschenkengang,,,,,,Ã l'Imaige Nostre-Dame,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,BE,,,,,,,,,,,,,,,https://www.facebook.com/ImaigeNostreDameBxl,,,,,,,,,,,,,,pub,+32 497 91 54 15,,,,,,,,,,imaigenostredamebx@gmail.com,"Yes, this is ""Imaige"", not ""Image"": this is not a typo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,Bruxelles - Brussel,1000.0,Rue du MarchÃ© aux Poulets - Kiekenmarkt,,,,,,Celtica,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,,,,,,,,,Casco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,Bruxelles - Brussel,1000.0,Rue de Tabora - Taborastraat,,,,,,Ã la BÃ©casse,,,,,,,,,,,,,,,,11,,,,,,,Mo-Su 11:00-24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.alabecasse.com,,,,pub,,,,,,,,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,,,Rue Henri Maus - Henri Mausstraat,,,,,,The Big Game Brussels,,,,,,,,,,,,,,,,05-jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,,,,,,,,,The Smalle Steen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,,,,,,,,,Les Gens Que J'Aime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,Bruxelles - Brussel,1000.0,Rue des Poissonniers - Visverkopersstraat,,,,,,KFK Hope,,,,,,,,,,,limited,,,,,21,Rue des Poissonniers,Visverkopersstraat,,,,,Mo-Su 11:00-...,,,,,,,BE,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,pub,,,,,,,,,,,,,,CafÃ© Kafka,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,Bruxelles - Brussel,1000.0,Grand-Place - Grote Markt,,,,,,Le Roy d'Espagne,,,,,,,,,,,,,,Bruxelles,Brussel,1,Grand-Place,Grote Markt,,,,,,,,,,,,BE,,,,,,,,,,,,,,,,,,,,,,,,,http://roydespagne.be,,,,pub,,,,,,,yes,,,,,,,,,yes,yes,yes,public,Le rÃ©seau des toilettes accueillantes - Netwerk gastvrije toiletten,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,Bruxelles - Brussel,1000.0,Rue de Flandre - Vlaamsesteenweg,yes,,,,,Roskam,,,,,,,,8316683.0,,,,,,Bruxelles,Brussel,9,Rue de Flandre,Vlaamsesteenweg,,Urbis/8316683,6.0,,Mo-Su 16:00-03:00,,,,,,,BE,,,,,,,,,,,,,,,,,,wlan,,,,no,,,https://www.cafe-roskam.be/,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity,pub,no,Bruxelles - Brussel,1000.0,Rue Sainte-Catherine - Sint-Katelijnestraat,,,,,,Monk,,,,,,,,,,,,,,,,,Rue Sainte-Catherine,Sint-Katelijnestraat,,,,,Mo-Th 11:00-02:00; Fr-Sa 11:00-04:00; Su 16:00-02:00,,,,,,,BE,,,,,,,,,,,,,,,,,,wlan,,,,outside,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,A la Courone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
