alpha,conflict,beta,error,addrcity,addrcountry,addrhousename,addrhousenumber,addrpostcode,addrstreet,amenity,building,name,ref,designation,int_name,buildinglevels,buildinglevelsunderground,namees,tourism,rooflevels,roofshape,description,start_datebuilding,leisure,note,phone,sport,website,buildinguse,brand,brandwikidata,brandwikipedia,fueldiesel,fuelGTL_diesel,fueloctane_95,fueloctane_98,opening_hours,source,sourcedate,alt_name,shop,product,office,studio,rental,repair,sale,wheelchair,construction,operator,start_date,landuse,email,fax,stars,addrprovince,nameen,smoking,wikipedia,service,architect,nameca,namezh,official_name,wikidata,toiletswheelchair,proposed,self_service,addrfull,contactphone,dispensing,healthcare,namefr,old_name,contactemail,emergency,internet_access,internet_accessfee,rooms,ele,highway,traffic_signals,crossing,traffic_signalsdirection,tactile_paving,button_operated,traffic_signalsvibration,traffic_signalssound,bicycle,crossingisland,bench,bus,passenger_information_display,public_transport,route_ref,shelter,bin,network,lanes,maxspeed,oneway,surface,sidewalk,parkinglaneboth,width,lit,tourist_bus,access,cycleway,parkinglaneleft,parkinglaneright,crossing_ref,bridge,layer,maxspeedtype,short_name,onewaybicycle,motor_vehicle,lanesbackward,lanesforward,handrail,incline,indoor,level
building,highway building landuse,residential,no,,,,8,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,6,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,14,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,12,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,10,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,21,,Passatge de Pau HernÃ¡ndez,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,16,,Passatge de Pau HernÃ¡ndez,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,20,,Passatge de Pau HernÃ¡ndez,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,11,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,18;18Bis,,Passatge de Pau HernÃ¡ndez,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,13,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,11,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,9,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,4,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,15,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,10,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,13,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,1,,Passatge de LeÃ³n,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,6,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,1,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,8,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,2,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,17,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,19,,Passatge de Pau HernÃ¡ndez,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,21Bis,,Passatge de Pau HernÃ¡ndez,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
